slug,name,category,wikidata_id,fame_seed,nicknames,key_tags,hook_seed
embraer-e-jet,Embraer E-Jet,commercial,Q1335290,70,"","era:21st-century;config:narrow-body;engines:2;role:regional-jet;country:brazil;manufacturer:embraer","Brazilian challenger; regional aviation backbone"
boeing-727,Boeing 727,commercial,Q173504,78,"","era:jet-age;config:narrow-body;engines:3;role:airliner;country:usa;manufacturer:boeing;fame:workhorse","T-tail trijet; D.B. Cooper's plane"
tupolev-tu-144,Tupolev Tu-144,commercial,Q34568,85,"Concordski","era:cold-war;config:supersonic;engines:4;role:airliner;country:ussr;manufacturer:tupolev;story:tragedy;story:industrial-espionage","Soviet Concorde; the Paris Air Show crash"
mcdonnell-douglas-md-80,McDonnell Douglas MD-80,commercial,Q587615,68,"Mad Dog","era:jet-age;config:narrow-body;engines:2;role:airliner;country:usa;fame:workhorse","Rear-engined narrowbody; American Airlines workhorse"
lockheed-l-1011,Lockheed L-1011 TriStar,commercial,Q693867,72,"TriStar","era:jet-age;config:wide-body;engines:3;role:airliner;country:usa;manufacturer:lockheed;story:commercial-failure","Tech ahead of its time; killed Lockheed's commercial business"
boeing-247,Boeing 247,commercial,Q1011533,65,"","era:propeller;config:narrow-body;engines:2;role:airliner;country:usa;manufacturer:boeing;fame:trailblazer","The first modern airliner; predecessor to the DC-3"
f-16,General Dynamics F-16 Fighting Falcon,military,Q310956,97,"Viper","era:cold-war;era:post-cold-war;role:fighter;role:multirole;engines:1;tech:fly-by-wire;country:usa;fame:iconic","Most-exported jet fighter; 'Viper' nickname origin; still flying everywhere"
f-22,Lockheed Martin F-22 Raptor,military,Q22693,90,"Raptor","era:21st-century;role:fighter;role:stealth;engines:2;country:usa;tech:stealth;fame:iconic;story:cancelled-early","Stealth supremacy; only 195 built before cancellation"
f-35,Lockheed Martin F-35 Lightning II,military,Q3935,92,"","era:21st-century;role:fighter;role:multirole;role:stealth;engines:1;country:usa;tech:stealth;tech:vtol;story:controversy","Trillion-dollar program; three variants in one airframe"
sr-71,Lockheed SR-71 Blackbird,military,Q34666,99,"Blackbird;Habu","era:cold-war;role:reconnaissance;engines:2;country:usa;manufacturer:lockheed-skunk-works;fame:iconic;tech:speed-record;story:never-shot-down","Outran missiles at Mach 3+; never lost to enemy fire; still holds speed records"
u-2,Lockheed U-2,military,Q190701,88,"Dragon Lady","era:cold-war;role:reconnaissance;engines:1;country:usa;manufacturer:lockheed-skunk-works;fame:iconic;story:powers-shootdown","Spy plane that flew higher than anything; Gary Powers; Cuban Missile Crisis"
b-2,Northrop Grumman B-2 Spirit,military,Q33523,90,"Spirit","era:post-cold-war;role:bomber;role:stealth;engines:4;country:usa;tech:stealth;config:flying-wing;fame:iconic","Flying-wing stealth bomber; $2B each; the most expensive aircraft ever built"
b-52,Boeing B-52 Stratofortress,military,Q4946,93,"BUFF;Big Ugly Fat Fellow","era:cold-war;role:bomber;engines:8;country:usa;manufacturer:boeing;fame:iconic;story:still-flying-after-70-years","Designed in 1948, flying past 2050; grandfathers and grandsons have piloted the same airframe"
a-10,Fairchild Republic A-10 Thunderbolt II,military,Q183372,90,"Warthog","era:cold-war;era:post-cold-war;role:attack;role:close-air-support;engines:2;country:usa;fame:iconic;tech:gau-8","Built around the GAU-8 cannon; 'BRRRT'; the plane the Air Force can't kill"
mig-21,Mikoyan-Gurevich MiG-21,military,Q34577,90,"Fishbed","era:cold-war;role:fighter;role:interceptor;engines:1;country:ussr;manufacturer:mikoyan;fame:workhorse;fame:iconic","Most-produced supersonic jet; flown by 60+ countries; the Soviet F-16"
mig-29,Mikoyan MiG-29,military,Q34580,82,"Fulcrum","era:cold-war;role:fighter;engines:2;country:ussr;manufacturer:mikoyan;fame:iconic","Soviet 4th-gen counter to the F-16/F-15"
su-27,Sukhoi Su-27,military,Q34594,85,"Flanker","era:cold-war;role:fighter;engines:2;country:ussr;manufacturer:sukhoi;fame:iconic;tech:cobra-maneuver","Pugachev's Cobra; the Russian air-superiority answer to the F-15"
f-14,Grumman F-14 Tomcat,military,Q310891,95,"Tomcat","era:cold-war;role:fighter;role:naval;engines:2;tech:variable-geometry;country:usa;manufacturer:grumman;fame:iconic;story:top-gun","Top Gun's star; swing wings; the Phoenix missile; Iran still flies them"
f-15,McDonnell Douglas F-15 Eagle,military,Q183076,88,"Eagle","era:cold-war;role:fighter;engines:2;country:usa;fame:iconic;story:never-lost-air-combat","104-0 air combat record; the air-superiority gold standard"
f-18,Boeing F/A-18 Hornet,military,Q183848,85,"Hornet","era:cold-war;role:fighter;role:multirole;role:naval;engines:2;country:usa;fame:iconic","Modern Top Gun star; Blue Angels' plane"
harrier,Hawker Siddeley Harrier,military,Q183469,90,"Jump Jet","era:cold-war;role:attack;role:vtol;engines:1;tech:vtol;country:uk;fame:iconic;story:falklands","First operational VTOL fighter; Falklands War hero; the original 'jump jet'"
spitfire,Supermarine Spitfire,military,Q188326,99,"Spit","era:wwii;role:fighter;engines:1;country:uk;manufacturer:supermarine;fame:iconic;story:battle-of-britain","Battle of Britain; elliptical wing; Britain's plane"
me-262,Messerschmitt Me 262,military,Q188344,90,"Schwalbe;Sturmvogel","era:wwii;role:fighter;engines:2;country:germany;fame:iconic;tech:first-jet-fighter","First operational jet fighter; too late to save Germany"
mig-15,Mikoyan-Gurevich MiG-15,military,Q175525,85,"","era:cold-war;era:korean-war;role:fighter;engines:1;country:ussr;fame:iconic;story:korean-war","Korean War surprise; the West learned the Soviets could match them"
f-86,North American F-86 Sabre,military,Q258253,85,"","era:cold-war;era:korean-war;role:fighter;engines:1;country:usa;fame:iconic","MiG-15's dance partner; American Korean War icon"
p-51,North American P-51 Mustang,military,Q183628,98,"Mustang","era:wwii;role:fighter;role:escort;engines:1;country:usa;fame:iconic;story:bomber-escort","Long-range escort that broke Germany's air defense; the Cadillac of the sky"
p-38,Lockheed P-38 Lightning,military,Q173462,85,"Fork-Tailed Devil","era:wwii;role:fighter;engines:2;country:usa;manufacturer:lockheed;fame:iconic;config:twin-boom;story:yamamoto-mission","Twin-boom oddity; shot down Yamamoto; the Pacific's long-range hunter"
b-17,Boeing B-17 Flying Fortress,military,Q173477,93,"Flying Fortress","era:wwii;role:bomber;engines:4;country:usa;manufacturer:boeing;fame:iconic","Daylight precision bombing; Memphis Belle; the bomber that took everything"
b-29,Boeing B-29 Superfortress,military,Q183575,92,"Superfortress","era:wwii;role:bomber;engines:4;country:usa;manufacturer:boeing;fame:iconic;story:hiroshima;story:nagasaki","Dropped the atomic bombs; pressurized cabin; first computerized fire control"
ah-64,Boeing AH-64 Apache,military,Q188107,82,"Apache","era:cold-war;era:post-cold-war;role:attack-helicopter;engines:2;country:usa;fame:iconic","The attack helicopter; Gulf War debut; still the gold standard"
uh-1,Bell UH-1 Iroquois,military,Q187931,90,"Huey","era:cold-war;era:vietnam;role:utility-helicopter;country:usa;manufacturer:bell;fame:iconic;story:vietnam","The sound of Vietnam; rotor wash and 'Ride of the Valkyries'"
c-130,Lockheed C-130 Hercules,military,Q43210,90,"Herc","era:cold-war;era:post-cold-war;role:transport;engines:4;country:usa;manufacturer:lockheed;fame:workhorse;fame:iconic","Still being built after 70 years; everything from gunship to firefighter"
c-17,Boeing C-17 Globemaster III,military,Q187746,75,"","era:post-cold-war;role:transport;engines:4;country:usa;fame:workhorse","Strategic airlifter that lands on short fields; the modern military mover"
v-22,Bell Boeing V-22 Osprey,military,Q183588,85,"Osprey","era:21st-century;role:tiltrotor;role:transport;engines:2;country:usa;tech:tiltrotor;story:controversial-development","Tiltrotor that took 30 years; still controversial; helicopter-to-plane transition"
mq-9,General Atomics MQ-9 Reaper,military,Q834860,75,"Reaper","era:21st-century;role:drone;role:ucav;country:usa;fame:iconic","The drone that defined the war on terror"
cessna-172,Cessna 172 Skyhawk,general-aviation,Q173666,90,"","era:propeller;role:trainer;engines:1;country:usa;manufacturer:cessna;fame:workhorse;fame:iconic","Most-produced aircraft in history; how most pilots learn to fly"
cessna-182,Cessna 182 Skylane,general-aviation,Q1054432,75,"","era:propeller;role:private;engines:1;country:usa;manufacturer:cessna;fame:workhorse","The step up from the 172; the family hauler"
cirrus-sr22,Cirrus SR22,general-aviation,Q1097556,80,"","era:21st-century;role:private;engines:1;country:usa;tech:parachute;fame:iconic;story:whole-plane-parachute","Whole-airframe parachute; the most-produced GA plane of the 21st century"
piper-cherokee,Piper PA-28 Cherokee,general-aviation,Q1131080,72,"","era:propeller;role:trainer;role:private;engines:1;country:usa;manufacturer:piper;fame:workhorse","Cessna 172's main rival; low-wing alternative trainer"
beechcraft-bonanza,Beechcraft Bonanza,general-aviation,Q822437,75,"V-tail Doctor Killer","era:propeller;role:private;engines:1;country:usa;manufacturer:beechcraft;fame:iconic;config:v-tail;story:buddy-holly","V-tail design; the doctor's plane; Buddy Holly's last flight"
pilatus-pc-12,Pilatus PC-12,general-aviation,Q1043373,72,"","era:21st-century;role:executive;engines:1;country:switzerland;manufacturer:pilatus;tech:single-engine-turboprop","Single-engine turboprop that competes with twin jets"
gulfstream-g650,Gulfstream G650,general-aviation,Q588968,80,"","era:21st-century;role:business-jet;engines:2;country:usa;manufacturer:gulfstream;fame:iconic","The billionaire's jet; intercontinental on demand"
bombardier-global-7500,Bombardier Global 7500,general-aviation,Q21029691,72,"","era:21st-century;role:business-jet;engines:2;country:canada;manufacturer:bombardier","Longest-range business jet"
embraer-phenom-300,Embraer Phenom 300,general-aviation,Q1340060,68,"","era:21st-century;role:business-jet;engines:2;country:brazil;manufacturer:embraer","Best-selling light business jet"
cessna-citation,Cessna Citation,general-aviation,Q1054410,75,"","era:jet-age;role:business-jet;engines:2;country:usa;manufacturer:cessna;fame:workhorse","Made business jets accessible; the Cessna name in jets"
robinson-r22,Robinson R22,general-aviation,Q1418497,70,"","era:propeller;role:helicopter;role:trainer;engines:1;country:usa;manufacturer:robinson","The training helicopter; how civilian rotorcraft pilots learn"
piper-cub,Piper J-3 Cub,general-aviation,Q1416293,80,"Cub","era:propeller;era:wwii;role:trainer;role:private;engines:1;country:usa;manufacturer:piper;fame:iconic","Yellow plane in the field; how a generation of WWII pilots learned"
wright-flyer,Wright Flyer,historic,Q207754,99,"Kitty Hawk","era:pioneer;role:experimental;engines:1;country:usa;fame:iconic;story:first-powered-flight","December 17, 1903; 12 seconds that changed everything"
fokker-dr-i,Fokker Dr.I,historic,Q204931,90,"Red Baron's Plane","era:wwi;role:fighter;engines:1;country:germany;fame:iconic;config:triplane;story:red-baron","Manfred von Richthofen's triplane; the Red Baron"
sopwith-camel,Sopwith Camel,historic,Q204865,85,"","era:wwi;role:fighter;engines:1;country:uk;fame:iconic","WWI's most successful fighter; Snoopy's plane"
hindenburg,LZ 129 Hindenburg,historic,Q1473346,92,"","era:interwar;role:airship;country:germany;fame:iconic;config:airship;story:disaster;story:lakehurst","'Oh, the humanity'; the end of the airship era"
spirit-of-st-louis,Spirit of St. Louis,historic,Q721098,93,"","era:interwar;role:experimental;engines:1;country:usa;fame:iconic;story:transatlantic;story:lindbergh","Lindbergh's solo Atlantic crossing; 33.5 hours alone"
ford-trimotor,Ford Trimotor,historic,Q1437961,72,"Tin Goose","era:interwar;role:airliner;engines:3;country:usa;manufacturer:ford;fame:iconic","All-metal trimotor; first practical American airliner"
boeing-314,Boeing 314 Clipper,historic,Q876815,80,"Pan Am Clipper","era:wwii;role:flying-boat;engines:4;country:usa;manufacturer:boeing;fame:iconic;config:flying-boat;story:pan-am","Transoceanic luxury before WWII; flew the President"
douglas-dc-3,Douglas DC-3 (historic context),historic,Q197375,90,"Dakota;Gooney Bird","era:propeller;era:wwii;role:airliner;role:transport;country:usa;fame:iconic","Already in `commercial` — also lives here as a wartime workhorse (C-47)"
junkers-ju-52,Junkers Ju 52,historic,Q183517,78,"Tante Ju","era:interwar;era:wwii;role:transport;engines:3;country:germany;manufacturer:junkers;fame:iconic;config:trimotor","Corrugated metal trimotor; Germany's DC-3"
zeppelin,Graf Zeppelin LZ 127,historic,Q161984,82,"","era:interwar;role:airship;country:germany;fame:iconic;config:airship","Round-the-world airship voyage; the era before Hindenburg"
de-havilland-comet,de Havilland Comet,historic,Q734023,85,"","era:jet-age;role:airliner;engines:4;country:uk;fame:iconic;story:metal-fatigue;story:tragedy","First commercial jetliner; the square windows; metal fatigue catastrophe"
x-15,North American X-15,historic,Q177765,90,"","era:cold-war;role:experimental;engines:1;country:usa;tech:speed-record;tech:altitude-record;fame:iconic","Mach 6.7; edge of space; Neil Armstrong flew it before Apollo"
bell-x-1,Bell X-1,historic,Q221423,90,"Glamorous Glennis","era:postwar;role:experimental;engines:1;country:usa;fame:iconic;story:sound-barrier;story:yeager","Chuck Yeager; first to break the sound barrier; October 14, 1947"
b-25,North American B-25 Mitchell,historic,Q173656,78,"","era:wwii;role:bomber;engines:2;country:usa;fame:iconic;story:doolittle-raid","Doolittle Raid; took off from a carrier to bomb Tokyo"
zero,Mitsubishi A6M Zero,historic,Q173468,88,"Zeke","era:wwii;role:fighter;role:naval;engines:1;country:japan;manufacturer:mitsubishi;fame:iconic;story:pearl-harbor","Japan's Pearl Harbor fighter; outmatched everything Allied early in the war"
bf-109,Messerschmitt Bf 109,historic,Q188334,90,"","era:wwii;role:fighter;engines:1;country:germany;fame:iconic;story:battle-of-britain","Most-produced fighter in history; the Spitfire's opponent over Britain"
focke-wulf-fw-190,Focke-Wulf Fw 190,historic,Q183531,82,"Würger","era:wwii;role:fighter;engines:1;country:germany;fame:iconic","Late-war Luftwaffe workhorse; outclassed the Spitfire briefly"
avro-lancaster,Avro Lancaster,historic,Q170710,85,"Lanc","era:wwii;role:bomber;engines:4;country:uk;manufacturer:avro;fame:iconic;story:dam-busters","Dam Busters; bouncing bomb; RAF night bomber"
de-havilland-mosquito,de Havilland Mosquito,historic,Q170657,85,"Mossie","era:wwii;role:multirole;engines:2;country:uk;fame:iconic;tech:wood-construction","Wooden wonder; faster than fighters; nothing could catch it"
lockheed-constellation,Lockheed Constellation,historic,Q197357,80,"Connie","era:postwar;role:airliner;engines:4;country:usa;manufacturer:lockheed;fame:iconic;config:triple-tail","Triple-tail elegance; the airliner that defined glamour travel"
boeing-247,Boeing 247,historic,Q1011533,68,"","era:interwar;role:airliner;engines:2;country:usa;manufacturer:boeing","First modern airliner; lost to the DC-3"
howard-hughes-h-4,Hughes H-4 Hercules,historic,Q502538,85,"Spruce Goose","era:wwii;role:flying-boat;role:transport;engines:8;country:usa;fame:iconic;story:one-flight;story:howard-hughes","Spruce Goose; biggest wingspan ever until 2019; flew once"
boeing-757,Boeing 757,commercial,Q190624,76,"","era:jet-age;config:narrow-body;engines:2;role:airliner;country:usa;manufacturer:boeing;fame:workhorse","Hot-and-high performance champion; pilots' favorite; cult following after retirement"
boeing-767,Boeing 767,commercial,Q190628,74,"","era:jet-age;config:wide-body;engines:2;role:airliner;country:usa;manufacturer:boeing;tech:etops","Opened the door to twin-engine transatlantic flying via ETOPS"
boeing-717,Boeing 717,commercial,Q1011526,60,"","era:jet-age;config:narrow-body;engines:2;role:regional-jet;country:usa;manufacturer:boeing;story:rebadged-md-95","Last MD-95 sold as a Boeing after the McDonnell Douglas merger"
boeing-720,Boeing 720,commercial,Q1011541,55,"","era:jet-age;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:boeing;story:short-lived-707-derivative","Shortened 707 for medium-range routes; obsolete within a decade"
airbus-a300,Airbus A300,commercial,Q34289,74,"","era:jet-age;config:wide-body;engines:2;role:airliner;country:europe;manufacturer:airbus;fame:trailblazer;story:first-twin-aisle-twin-engine","First twin-engine wide-body; born from the Concorde rejection"
airbus-a310,Airbus A310,commercial,Q34307,65,"","era:jet-age;config:wide-body;engines:2;role:airliner;country:europe;manufacturer:airbus;tech:two-pilot-cockpit","Shrunken A300 with a two-pilot glass cockpit"
airbus-a330,Airbus A330,commercial,Q34320,80,"","era:21st-century;config:wide-body;engines:2;role:airliner;country:europe;manufacturer:airbus;fame:workhorse","Airbus's mid-size widebody workhorse; A330neo extending its life"
airbus-a340,Airbus A340,commercial,Q9293,72,"","era:jet-age;config:wide-body;engines:4;role:airliner;country:europe;manufacturer:airbus;story:obsolescence-by-twin","Four-engine sibling of the A330; killed by twin-engine economics"
airbus-a220,Airbus A220,commercial,Q1788301,68,"CSeries","era:21st-century;config:narrow-body;engines:2;role:regional-jet;country:canada;country:europe;manufacturer:airbus;manufacturer:bombardier;story:trade-war","Born as the Bombardier CSeries; nearly killed by Boeing's trade complaint"
douglas-dc-4,Douglas DC-4,commercial,Q193708,65,"Skymaster","era:propeller;config:narrow-body;engines:4;role:airliner;role:transport;country:usa;manufacturer:douglas;era:wwii","Pressurized successor to the DC-3; backbone of postwar long-haul"
douglas-dc-6,Douglas DC-6,commercial,Q193715,68,"","era:propeller;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:douglas;era:postwar","Pressurized piston-engine peak; rival to the Constellation"
douglas-dc-7,Douglas DC-7,commercial,Q193725,66,"","era:propeller;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:douglas;story:last-of-pistons","The last great piston airliner; superseded by jets within years"
douglas-dc-8,Douglas DC-8,commercial,Q173594,72,"","era:jet-age;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:douglas;fame:trailblazer","Douglas's answer to the 707; the first supersonic civilian airliner (dive test)"
douglas-dc-9,Douglas DC-9,commercial,Q187916,75,"","era:jet-age;config:narrow-body;engines:2;role:airliner;country:usa;manufacturer:douglas;fame:workhorse","T-tail rear-engine twin; spawned the MD-80 family"
mcdonnell-douglas-dc-10,McDonnell Douglas DC-10,commercial,Q190656,76,"","era:jet-age;config:wide-body;engines:3;role:airliner;country:usa;fame:workhorse;story:cargo-door-fix","Notorious cargo-door failures became a textbook engineering tragedy"
mcdonnell-douglas-md-11,McDonnell Douglas MD-11,commercial,Q183842,68,"","era:jet-age;config:wide-body;engines:3;role:airliner;country:usa;story:underperformed-specs","Promised range it couldn't deliver; ended up as a freighter star"
lockheed-l-188-electra,Lockheed L-188 Electra,commercial,Q1547180,62,"","era:propeller;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:lockheed;story:whirl-mode","Whirl-mode crashes nearly killed Lockheed before the fix"
bombardier-crj,Bombardier CRJ,commercial,Q726841,68,"","era:21st-century;config:narrow-body;engines:2;role:regional-jet;country:canada;manufacturer:bombardier","The regional jet that made hub-and-spoke airlines possible"
bombardier-dash-8,Bombardier Dash 8,commercial,Q864293,66,"Dash 8;Q400","era:21st-century;role:turboprop;engines:2;role:regional;country:canada;manufacturer:bombardier","Canadian turboprop workhorse; the Q400's vibration-suppression saga"
embraer-erj-145,Embraer ERJ 145,commercial,Q1283570,64,"","era:21st-century;config:narrow-body;engines:2;role:regional-jet;country:brazil;manufacturer:embraer","Brazilian breakout that made Embraer a name in regional jets"
embraer-e190,Embraer E190,commercial,Q1336140,66,"","era:21st-century;config:narrow-body;engines:2;role:regional-jet;country:brazil;manufacturer:embraer;fame:workhorse","Right-size regional jet; the JetBlue/breeze favorite"
sukhoi-superjet-100,Sukhoi Superjet 100,commercial,Q649907,60,"SSJ100","era:21st-century;config:narrow-body;engines:2;role:regional-jet;country:russia;manufacturer:sukhoi;story:sanctions-grounded","Russia's regional-jet bid; grounded internationally by sanctions"
comac-c919,COMAC C919,commercial,Q1106646,68,"","era:21st-century;config:narrow-body;engines:2;role:airliner;country:china;manufacturer:comac;story:737-airbus-challenger","China's 737/A320 challenger; entry into service in 2023"
tupolev-tu-154,Tupolev Tu-154,commercial,Q193745,70,"","era:cold-war;config:narrow-body;engines:3;role:airliner;country:ussr;manufacturer:tupolev;fame:workhorse;story:eastern-bloc","Soviet trijet workhorse; one in three Eastern Bloc passengers flew on one"
tupolev-tu-134,Tupolev Tu-134,commercial,Q674919,65,"","era:cold-war;config:narrow-body;engines:2;role:airliner;country:ussr;manufacturer:tupolev;tech:bombardier-nose","Soviet short-haul; glass nose for the navigator inherited from bombers"
ilyushin-il-76,Ilyushin Il-76,commercial,Q183539,72,"Candid","era:cold-war;config:wide-body;engines:4;role:freighter;role:transport;country:ussr;manufacturer:ilyushin;fame:workhorse","Soviet C-141 analogue; still flying disaster relief and special-cargo missions"
ilyushin-il-62,Ilyushin Il-62,commercial,Q193739,66,"","era:cold-war;config:narrow-body;engines:4;role:airliner;country:ussr;manufacturer:ilyushin;tech:rear-engine-quad","Last quad rear-engine airliner; the Soviet VC10"
antonov-an-225,Antonov An-225 Mriya,commercial,Q22701,92,"Mriya;Cossack","era:cold-war;era:21st-century;config:wide-body;engines:6;role:freighter;country:ukraine;country:ussr;manufacturer:antonov;fame:iconic;story:largest-aircraft-ever;story:destroyed-by-war","Largest airplane ever built; only one ever flew; destroyed at Hostomel in 2022"
antonov-an-124,Antonov An-124 Ruslan,commercial,Q12015,82,"Ruslan;Condor","era:cold-war;era:21st-century;config:wide-body;engines:4;role:freighter;country:ussr;country:russia;country:ukraine;manufacturer:antonov;fame:iconic","Strategic-airlifter-turned-civilian-freighter; the An-225's smaller sibling"
antonov-an-2,Antonov An-2,commercial,Q12018,78,"Annushka;Colt","era:cold-war;era:propeller;config:biplane;engines:1;role:utility;country:ussr;manufacturer:antonov;fame:iconic;story:longest-production-run","World's longest production run for a biplane; takes off in 50 meters; still in service"
atr-72,ATR 72,commercial,Q477823,68,"","era:21st-century;role:turboprop;engines:2;role:regional;country:france;country:italy;manufacturer:atr;fame:workhorse","European turboprop workhorse; the Q400's main competitor"
fokker-f27-friendship,Fokker F27 Friendship,commercial,Q1438538,65,"Friendship","era:propeller;role:turboprop;engines:2;role:regional;country:netherlands;manufacturer:fokker;fame:trailblazer","Most-produced postwar turboprop airliner; Fokker's signature"
fokker-100,Fokker 100,commercial,Q1437715,62,"","era:jet-age;config:narrow-body;engines:2;role:regional-jet;country:netherlands;manufacturer:fokker;story:fokker-bankruptcy","Fokker's last airliner; bankruptcy ended Dutch civil aerospace"
bae-146,British Aerospace 146,commercial,Q827502,65,"Whisperjet;Jumbolino","era:jet-age;config:narrow-body;engines:4;role:regional-jet;country:uk;manufacturer:bae;tech:short-field;story:quietest-jet","Quietest jet of its era; four engines for short-field STOL operations"
sud-aviation-caravelle,Sud Aviation Caravelle,commercial,Q580083,70,"","era:jet-age;config:narrow-body;engines:2;role:airliner;country:france;manufacturer:sud-aviation;fame:trailblazer;tech:rear-engine","First short-haul jetliner; rear-mounted engines copied by everyone after"
vickers-vc10,Vickers VC10,commercial,Q1148196,68,"","era:jet-age;config:narrow-body;engines:4;role:airliner;country:uk;manufacturer:vickers;tech:rear-engine-quad;story:hot-and-high","Built for hot-and-high colonial routes; later RAF tanker until 2013"
hawker-siddeley-trident,Hawker Siddeley Trident,commercial,Q1054419,62,"","era:jet-age;config:narrow-body;engines:3;role:airliner;country:uk;manufacturer:hawker-siddeley;tech:autoland;story:bea-spec-killed-727","The BEA-spec airliner that handed the 727 the world market"
convair-880,Convair 880,commercial,Q1136002,55,"","era:jet-age;config:narrow-body;engines:4;role:airliner;country:usa;manufacturer:convair;story:commercial-failure","Convair's fast jet that bankrupted the division"
